,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,pindi gheb,92.0,PK,1551923026.0,90.0,33.24,72.27,49.99,6.08
1,mincivan,12.0,AZ,1551923026.0,75.0,39.03,46.72,24.74,2.51
2,kodiak,1.0,US,1551923023.0,67.0,39.95,-94.76,32.0,4.7
3,lazaro cardenas,90.0,MX,1551919500.0,25.0,28.39,-105.62,73.4,6.76
4,hasaki,75.0,JP,1551922476.0,93.0,35.73,140.83,48.2,20.8
5,port alfred,36.0,ZA,1551922937.0,87.0,-33.59,26.89,71.01,5.99
6,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
7,chuy,12.0,UY,1551922754.0,92.0,-33.69,-53.46,74.74,11.45
8,arraial do cabo,24.0,BR,1551923027.0,88.0,-22.97,-42.02,80.59,12.8
9,georgetown,64.0,SH,1551923031.0,100.0,-7.93,-14.42,81.4,7.76
10,hilo,90.0,US,1551922947.0,64.0,19.71,-155.08,73.4,8.05
11,jamestown,92.0,SH,1551923031.0,100.0,-15.94,-5.72,75.95,11.79
12,bilibino,48.0,RU,1551923031.0,77.0,68.06,166.44,7.87,3.18
13,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
14,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
15,imbituba,75.0,BR,1551921000.0,88.0,-28.24,-48.67,77.0,5.82
16,nikolskoye,0.0,RU,1551922210.0,62.0,59.7,30.79,21.2,6.71
17,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
18,saint-philippe,76.0,RE,1551922860.0,73.0,-21.36,55.77,75.2,5.82
19,bambous virieux,40.0,MU,1551922744.0,83.0,-20.34,57.76,77.0,5.19
20,tasiilaq,88.0,GL,1551919800.0,62.0,65.61,-37.64,19.4,25.28
21,soyo,48.0,AO,1551922817.0,94.0,-6.13,12.37,75.46,2.95
22,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
23,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
24,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
27,flinders,0.0,AU,1551922925.0,32.0,-34.58,150.85,73.99,12.75
29,vaini,40.0,TO,1551920400.0,79.0,-21.2,-175.2,86.0,9.17
30,kodiak,1.0,US,1551923023.0,67.0,39.95,-94.76,32.0,4.7
32,tuktoyaktuk,90.0,CA,1551920400.0,77.0,69.44,-133.03,5.0,4.7
33,bluff,92.0,NZ,1551922806.0,92.0,-46.6,168.33,55.0,14.0
34,launceston,75.0,AU,1551922829.0,44.0,-41.43,147.14,62.01,14.99
35,mahebourg,40.0,MU,1551922744.0,83.0,-20.41,57.7,77.0,5.19
36,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
37,busselton,92.0,AU,1551922973.0,63.0,-33.64,115.35,72.0,5.97
38,qaanaaq,64.0,GL,1551923039.0,91.0,77.48,-69.36,-2.08,3.51
39,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
40,guerrero negro,0.0,MX,1551923039.0,82.0,27.97,-114.04,60.02,5.75
41,pevek,80.0,RU,1551923039.0,93.0,69.7,170.27,3.01,2.62
42,upernavik,0.0,GL,1551923040.0,100.0,72.79,-56.15,3.46,19.51
43,vaini,40.0,TO,1551920400.0,79.0,-21.2,-175.2,86.0,9.17
44,tuktoyaktuk,90.0,CA,1551920400.0,77.0,69.44,-133.03,5.0,4.7
45,honningsvag,12.0,NO,1551923041.0,100.0,70.98,25.97,18.94,13.02
46,petropavlovsk-kamchatskiy,40.0,RU,1551920400.0,62.0,53.05,158.65,21.2,6.98
47,mount isa,0.0,AU,1551920400.0,27.0,-20.73,139.49,91.4,9.17
48,new norfolk,40.0,AU,1551922994.0,42.0,-42.78,147.06,64.0,12.75
49,cape town,20.0,ZA,1551923021.0,82.0,-33.93,18.42,66.99,4.7
50,cape town,20.0,ZA,1551923021.0,82.0,-33.93,18.42,66.99,4.7
51,cape town,20.0,ZA,1551923021.0,82.0,-33.93,18.42,66.99,4.7
52,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
53,karpathos,32.0,GR,1551919800.0,81.0,35.51,27.21,53.6,6.87
54,vaini,40.0,TO,1551920400.0,79.0,-21.2,-175.2,86.0,9.17
55,wajir,0.0,KE,1551923043.0,51.0,1.75,40.07,73.34,7.2
56,castro,75.0,CL,1551920400.0,82.0,-42.48,-73.76,55.4,4.7
57,lagoa,0.0,PT,1551922931.0,87.0,37.14,-8.45,52.0,2.24
58,washington,1.0,US,1551922745.0,35.0,38.9,-77.04,28.0,6.98
